Subject,Experiment,T7_delta,T7_theta,T7_alpha,T7_beta,T7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma
s01,3MNLBH,49.42551975,17.07965977,6.09216595,1.647513129,0.452819111,354.5830454,28.18146022,9.56003857,2.657570629,0.888795814,49.16049491,17.20524488,6.321005743,1.606740684,0.3579269,32.73229917,11.26128626,4.898000346,1.926718076,0.353064222
s01,3MNLEH,14.25858596,2.18369809,1.465510199,1.078923179,0.895613865,1441.894577,102.7656001,35.73397456,9.177154235,3.687788044,11.71798264,2.50270116,2.016886873,0.86741366,0.418220816,12.26002668,1.123736913,1.521938499,0.996584186,0.490301751
s01,3MNMBH,13.421991,3.057907622,1.527197689,0.835211401,0.248313884,143.9059504,26.90830641,7.422115242,2.45128495,0.556803176,11.7783334,3.202129436,1.848768213,0.810449997,0.20733822,7.594348864,1.965889823,1.604645227,1.110639245,0.196438348
s01,3MNMEH,15.65642462,6.437288814,2.576428097,0.923251131,0.223725293,1346.206621,53.10303267,18.67768069,4.96166437,1.400575877,15.54354281,6.81108875,3.048306812,0.868785001,0.168760197,10.87580744,4.843209024,2.826539656,1.162606782,0.183273083
s01,3MNNLBH,33.91639722,7.688467839,2.559229578,1.004494952,0.349732265,443.5336775,24.20376766,8.453777242,2.491739191,0.838284048,33.87156334,8.017267132,3.12515704,0.984567305,0.292981002,22.09188298,5.235703933,2.778348,1.329534363,0.298130382
s01,3MNNLEH,12.61774647,3.048013631,1.59182494,0.877494121,0.465729384,1567.288785,94.02010655,29.95627926,7.10071837,2.510388615,9.856616889,3.252210226,2.172888324,0.757056876,0.309471921,10.66068969,2.085364679,1.850996579,0.989887195,0.370447155
s01,3MRSEC,9.051165283,1.930111856,1.157326269,0.585660083,0.11740044,25.96460568,2.415845745,1.15609761,0.498134339,0.119886099,7.342953585,1.960774151,1.669490081,0.562207654,0.126694554,6.950585348,1.712496982,1.921347988,0.944150497,0.109725104
s01,3MRSEC,6.631731055,1.005631766,0.93087345,0.717488463,0.132431711,22.72553241,1.383917331,1.009207177,0.552027592,0.129118704,4.986231395,1.062174194,1.346167242,0.537168067,0.131670328,4.89617146,0.91700085,1.790076071,1.054810941,0.132352439
s01,3MRSEC,17.95117889,3.50328609,1.324629962,0.584886701,0.119140601,35.23873185,6.745363525,1.544561694,0.512543031,0.123213655,13.6028807,2.962080021,1.402340895,0.472975031,0.115588114,14.1438103,3.090629313,1.60763151,0.783406645,0.112267535
s01,3MRSEO,3.757743203,0.661498121,0.717942188,0.383513286,0.123361661,49.93194935,3.958175419,1.179156904,0.416232466,0.18013261,4.161989635,0.859485645,0.988987987,0.396663097,0.112130596,2.968251266,0.374437296,0.912450089,0.332542841,0.085970114
