Subject,Experiment,T7_delta,T7_theta,T7_alpha,T7_beta,T7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma
s01,3MNLBH,36.69348147,17.07226984,6.082389454,1.546913853,0.165902914,93.08494617,28.16507103,9.545633332,2.460678759,0.329595619,37.23455992,17.19764795,6.310370515,1.512354763,0.13374942,24.67455453,11.25612287,4.887430317,1.842521951,0.127021164
s01,3MNLEH,5.179554536,2.181956806,1.461970696,0.979814249,0.312017616,379.1391886,102.7054399,35.68493869,8.302065003,1.430691827,5.494816978,2.500835947,2.011655806,0.809452438,0.150032134,2.569519446,1.123106319,1.516664698,0.938008923,0.171244443
s01,3MNMBH,6.95880505,3.056295915,1.523704266,0.789857919,0.089622441,71.55590452,26.89186756,7.410957099,2.268644373,0.212065516,6.848626614,3.200550594,1.844388413,0.766631319,0.074489372,4.237087783,1.964948747,1.599796066,1.06796494,0.069002732
s01,3MNMEH,11.45424895,6.433826177,2.570953579,0.876848975,0.082182316,275.9655453,53.05354594,18.65047207,4.570298521,0.541421089,11.87003594,6.807533218,3.041862958,0.82429971,0.062778885,8.185746587,4.840595924,2.818788173,1.119746989,0.06370038
s01,3MNNLBH,20.41999597,7.684752721,2.55395098,0.948503804,0.125249018,156.0585379,24.18986378,8.439889311,2.309741489,0.304990707,21.55356548,8.013387898,3.118315994,0.930595562,0.107492866,13.8332743,5.233226822,2.770141225,1.277099974,0.102427802
s01,3MNNLEH,4.891169564,3.046523976,1.588346476,0.806159081,0.162322246,391.2649585,93.96377158,29.91478476,6.486124787,0.929488811,5.415518436,3.250644304,2.167998484,0.709384697,0.115036385,3.908500665,2.084490461,1.845805193,0.939412556,0.132922711
s01,3MRSEC,5.223986599,1.929071945,1.154766072,0.554967265,0.043613165,9.328764333,2.414046047,1.153662976,0.467367533,0.04478663,4.720819223,1.959785168,1.665359878,0.531556321,0.048722758,4.346010406,1.711686486,1.915306191,0.909085816,0.04131454
s01,3MRSEC,3.042672769,1.005155481,0.928360145,0.681897176,0.049084492,5.435467816,1.383401888,1.006724312,0.518779747,0.048691862,2.751892439,1.061698332,1.342591826,0.506000369,0.04952202,2.584072209,0.916616854,1.783911618,1.015479373,0.047841035
s01,3MRSEC,11.25182226,3.501873333,1.322105056,0.552668419,0.044964868,16.65744823,6.740566297,1.542048336,0.477553256,0.045755067,8.543780927,2.960822234,1.399445295,0.443522816,0.042855598,9.213202039,3.089198802,1.603595542,0.749956376,0.0410941
s01,3MRSEO,1.546807873,0.661237049,0.715999964,0.358835178,0.045272072,19.44100071,3.95620219,1.176937149,0.384145019,0.064379838,1.791260767,0.859190304,0.986535234,0.370912096,0.040636599,0.958404097,0.374296216,0.909611144,0.313876306,0.030771036
s01,3MRSEO,14.23774348,8.720784036,2.749572392,0.664240406,0.062278871,105.0500119,18.29637893,6.945489018,1.89660493,0.196054625,13.47479703,8.392729029,2.746103263,0.597917246,0.05531331,11.51830358,7.129265899,2.541813606,0.686651642,0.051785534
s01,3MRSEO,2.395716579,1.004880331,0.845399591,0.484986383,0.087810101,202.8434475,41.44517874,20.94455529,3.765945176,0.715350016,2.532800145,1.116610213,0.979665757,0.36819234,0.06876421,2.685064151,1.099309366,1.20737121,0.599443953,0.098774766
s02,3MNLBH,36.41161247,7.668166571,4.342167901,1.063004808,0.158150774,472.5582909,97.55434212,34.64094826,8.761442927,1.260391732,2.801055299,1.914213224,2.316638904,0.532488126,0.045684215,3.651799632,1.519245407,4.213394901,0.891047783,0.051159232
s02,3MNLEH,17.58394961,6.460168416,3.073282061,0.776050407,0.092489152,26.54955861,7.535726462,2.629837842,0.495342408,0.056825358,13.25721609,5.152143615,2.744601785,0.600839429,0.044656974,17.06100305,6.474711979,4.147259117,1.000179783,0.049592023
s02,3MNMBH,4.782959565,2.215732695,1.998065802,0.690935962,0.059745828,8.929367639,2.532595825,1.381267531,0.347825773,0.041916803,3.803494754,2.238764878,1.886472646,0.495299187,0.040357797,4.893731733,2.170645842,3.586352012,0.647114577,0.039950543
s02,3MNMEH,153.2459372,26.25586746,4.50930236,0.791088758,0.056518696,139.4624454,25.55987203,3.852130006,0.48959352,0.054401357,109.3945614,18.56669081,3.611280393,0.568328236,0.043421071,152.3938685,27.37098764,6.511607548,0.976757899,0.053132997
s02,3MNNLBH,6.28281336,2.714610348,2.655227179,0.75682117,0.055371471,12.47455584,3.194198678,1.672313415,0.398084265,0.043179991,4.958904135,2.716262482,2.192779945,0.580002174,0.044951437,6.601233565,2.504065709,3.896150243,0.883238617,0.050057771
s02,3MNNLEH,24.8657342,5.309079365,3.344339062,0.9454659,0.089462312,10.18741343,2.006582837,1.300961815,0.370971144,0.051876409,2.118242311,1.672889012,1.825408667,0.516020854,0.044669187,2.326990949,1.212678691,3.589335717,0.737986192,0.052097135
s02,3MRSEC,2.16070498,0.836274743,1.092755763,0.315552476,0.030668686,4.462441696,0.926819218,0.761170195,0.15970884,0.02937062,2.685266617,1.518012135,1.638573321,0.295921838,0.031161484,4.316003717,1.569477587,3.209238375,0.703969282,0.036208728
